month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1988-06,2.4370000000000003,3.1,1.3,1.0,0.0
1988-07,10.891,12.9,6.1,3.0,0.0
1988-08,2.533,6.8,1.8,0.4,0.0
1988-09,4.621,7.7,4.1,0.9,0.0
1988-10,6.622,10.9,4.8,2.0,0.0
1988-11,4.089,6.3,3.4,1.6,0.0
1988-12,5.25,5.111111111111111,2.4444444444444446,1.1111111111111112,0.0
1989-01,2.679,5.8,2.1,0.5,0.0
1989-02,4.997,13.2,2.8,0.8,0.0
1989-03,7.93,12.1,4.6,1.1,0.0
1989-04,7.92,13.3,6.6,3.0,0.0
1989-05,1.2189999999999999,2.8,1.5,0.0,0.0
1989-06,5.5488888888888885,7.888888888888889,4.777777777777778,2.3333333333333335,0.0
1989-07,3.3577777777777778,8.11111111111111,2.5555555555555554,0.2222222222222222,0.0
1989-08,3.181,5.1,2.6,0.8,0.0
1989-09,5.08,5.8,3.1,2.2,0.0
1989-10,2.936,8.5,1.7,0.1,0.0
1989-11,3.3880000000000003,8.2,3.1,0.3,0.25
1989-12,6.415000000000001,10.6,6.3,0.9,2.6666666666666665
1990-01,3.7589999999999995,9.2,3.1,0.4,0.0
1990-02,8.878,13.3,5.7,2.9,0.14285714285714285
1990-03,0.909,3.0,0.1,0.0,0.0
1990-04,5.2700000000000005,11.4,5.0,0.5,0.25
1990-05,0.7211111111111111,3.3333333333333335,0.0,0.0,0.0
1990-06,7.381111111111112,14.555555555555555,5.222222222222222,1.4444444444444444,0.0
1990-07,2.7288888888888887,4.555555555555555,2.4444444444444446,0.6666666666666666,0.0
1990-08,0.9255555555555556,3.4444444444444446,0.3333333333333333,0.0,0.0
1990-09,4.197777777777778,6.0,3.4444444444444446,1.3333333333333333,0.0
1990-10,7.66875,9.75,4.25,2.25,0.0
1990-11,2.8975,9.125,1.125,0.0,2.8
1990-12,4.8875,12.25,4.375,0.125,0.3333333333333333
1991-01,6.3225,11.0,5.875,1.75,1.0
1991-02,1.38125,5.125,0.625,0.0,3.7142857142857144
1991-03,5.90625,10.25,4.375,1.125,0.0
1991-04,3.62125,6.625,2.875,0.875,0.3333333333333333
1991-05,2.51375,5.375,3.0,0.0,0.5
1991-06,5.18875,14.625,3.0,0.75,0.0
1991-07,5.27125,8.5,4.75,1.375,0.0
1991-08,1.50875,3.0,1.125,0.25,0.0
1991-09,6.35375,8.5,3.875,2.125,0.0
1991-10,3.025,7.25,1.5,0.0,1.75
1991-11,6.516249999999999,11.5,5.0,3.0,3.0
1991-12,3.1262499999999998,5.0,3.0,0.0,1.5
1992-01,0.865,2.625,0.875,0.0,1.5
1992-02,2.37,7.5,1.0,0.25,1.625
1992-03,4.952222222222222,12.88888888888889,3.2222222222222223,0.7777777777777778,0.5
1992-04,3.17,9.0,1.5555555555555556,0.0,0.125
1992-05,11.525,7.25,4.875,4.25,0.0
1992-06,6.834444444444445,10.11111111111111,4.666666666666667,2.7777777777777777,0.0
1992-07,2.5877777777777777,7.444444444444445,1.6666666666666667,0.0,0.14285714285714285
1992-08,5.597777777777777,9.444444444444445,3.888888888888889,1.6666666666666667,0.0
1992-09,4.231,10.1,2.0,1.2,0.0
1992-10,5.392,10.1,4.4,0.9,0.1111111111111111
1992-11,7.774545454545454,17.181818181818183,4.818181818181818,1.9090909090909092,0.4444444444444444
1992-12,5.993636363636364,5.818181818181818,3.909090909090909,3.272727272727273,1.6666666666666667
1993-01,5.56,8.454545454545455,2.0,1.0,0.4
1993-02,1.7463636363636363,3.4545454545454546,1.0909090909090908,0.7272727272727273,4.9
1993-03,0.9190909090909091,2.090909090909091,0.7272727272727273,0.0,0.0
1993-04,12.785454545454543,17.272727272727273,8.181818181818182,4.090909090909091,0.0
1993-05,5.478181818181818,11.090909090909092,4.0,1.3636363636363635,0.1
1993-06,5.22,7.090909090909091,3.909090909090909,2.5454545454545454,0.0
1993-07,4.740909090909091,10.636363636363637,2.6363636363636362,1.0,0.0
1993-08,0.4690909090909091,1.9090909090909092,0.0,0.0,0.0
1993-09,8.49,15.454545454545455,6.454545454545454,2.3636363636363638,0.0
1993-10,10.841818181818182,11.363636363636363,5.0,3.4545454545454546,0.2
1993-11,3.130909090909091,6.636363636363637,2.1818181818181817,0.5454545454545454,1.7
1993-12,9.66,19.454545454545453,8.181818181818182,1.9090909090909092,0.8
1994-01,7.483636363636363,17.181818181818183,7.0,0.45454545454545453,1.2
1994-02,6.088181818181818,11.727272727272727,4.090909090909091,1.8181818181818181,2.4444444444444446
1994-03,4.030909090909091,11.272727272727273,2.4545454545454546,0.0,0.0
1994-04,6.1240000000000006,10.9,5.6,2.3,0.0
1994-05,5.7263636363636365,11.454545454545455,4.090909090909091,1.6363636363636365,0.0
1994-06,4.611,7.6,3.7,1.7,0.0
1994-07,8.095,6.1,4.0,3.3,0.0
1994-08,7.712000000000001,8.6,4.9,2.4,0.0
1994-09,7.373,12.9,4.9,2.0,0.1
1994-10,5.01,12.5,3.6,0.2,0.0
